city,city_state,state,population,lat,lon,rank,tax_score,investment_score,effectiveness_score,city_pgi
Laredo,"Laredo, TX",TX,261776,27.5036,-99.5076,63,69.5718743847363,50.50924652534474,25.654595478279575,48.57857212945354
Portland,"Portland, OR",OR,635067,45.5155,-122.6789,64,39.11429732235225,35.23185076500407,70.96148443125654,48.435877506204285
Long Beach,"Long Beach, CA",CA,466742,33.7701,-118.1937,65,53.06716032795792,40.32431601845096,49.8532631790413,47.74824650848339
Dallas,"Dallas, TX",TX,1302092,32.7767,-96.797,66,51.2767487033448,50.50924652534474,40.63402448241951,47.47333990370302
Modesto,"Modesto, CA",CA,218464,37.6391,-120.9969,67,65.0032378253787,45.416781271897854,31.18368129414964,47.201233463808734
Fresno,"Fresno, CA",CA,545567,36.7378,-119.7871,68,62.71891954569989,45.416781271897854,31.838855843619502,46.65818555373909
Louisville,"Louisville, KY",KY,628594,38.2527,-85.7585,69,50.782842048279115,45.416781271897854,43.54323393034471,46.58095241684057
St. Paul,"St. Paul, MN",MN,307193,44.9537,-93.09,70,44.42379386430839,35.23185076500407,58.511864064983534,46.055836231432004
Hialeah,"Hialeah, FL",FL,223109,25.8576,-80.2781,71,67.2875561050575,40.32431601845096,26.33012450129265,44.64733220826704
Santa Ana,"Santa Ana, CA",CA,309441,33.7455,-117.8677,72,60.43460126602109,45.416781271897854,27.70927238214348,44.52021830668747
Norfolk,"Norfolk, VA",VA,238005,36.8508,-76.2859,73,48.99243042366599,40.32431601845096,43.55071105177649,44.28915249796447
Minneapolis,"Minneapolis, MN",MN,429954,44.9778,-93.265,74,30.203398087208804,40.32431601845096,61.22849235964258,43.918735488434116
Los Angeles,"Los Angeles, CA",CA,3820914,34.0522,-118.2437,75,37.46794180546662,45.416781271897854,46.88222611809583,43.25564973182011
Atlanta,"Atlanta, GA",GA,510823,33.749,-84.388,76,34.77203464656641,35.23185076500407,57.47210564984829,42.49199702047292
Indianapolis,"Indianapolis, IN",IN,887642,39.7684,-86.1581,77,44.42379386430839,40.32431601845096,35.83812359521966,40.19541115932633
Kansas City,"Kansas City, MO",MO,508090,39.0997,-94.5786,78,48.99243042366599,45.416781271897854,25.82348588138828,40.07756585898404
Pittsburgh,"Pittsburgh, PA",PA,302971,40.4406,-79.9959,79,42.13947558462959,19.95445500466339,57.34794373275506,39.81395810734935
Stockton,"Stockton, CA",CA,322120,37.9577,-121.2908,80,65.0032378253787,40.32431601845096,12.970227861967508,39.43259390193239
Baton Rouge,"Baton Rouge, LA",LA,225128,30.4515,-91.1871,81,50.782842048279115,35.23185076500407,31.230212530462317,39.081635114581836
Oakland,"Oakland, CA",CA,430553,37.8044,-122.2712,82,39.340671205924025,30.139385511557176,46.03021165018626,38.50342278922249
Richmond,"Richmond, VA",VA,226604,37.5407,-77.436,83,39.340671205924025,25.046920258110283,46.45415264398979,36.94724803600803
Jersey City,"Jersey City, NJ",NJ,292449,40.7178,-74.0431,84,23.84434990323808,19.95445500466339,65.71351805042093,36.50410765277413
Cincinnati,"Cincinnati, OH",OH,311097,39.1031,-84.512,85,44.42379386430839,25.046920258110283,38.87981365654825,36.116842592988974
Miami,"Miami, FL",FL,449514,25.7617,-80.1918,86,34.77203464656641,30.139385511557176,42.54916214160959,35.820194099911056
Boston,"Boston, MA",MA,654776,42.3601,-71.0589,87,9.6239541261385,25.046920258110283,68.16288918773465,34.27792119066115
San Bernardino,"San Bernardino, CA",CA,222203,34.1083,-117.2898,88,65.0032378253787,30.139385511557176,5.656588086258608,33.59973714106483
New York,"New York, NY",NY,8258035,40.7128,-74.006,89,0.0,30.139385511557176,64.6280183534078,31.589134621654992
San Francisco,"San Francisco, CA",CA,808437,37.7749,-122.4194,90,0.0,14.861989751216498,79.21860701964472,31.360198923620406
Milwaukee,"Milwaukee, WI",WI,577222,43.0389,-87.9065,91,44.42379386430839,25.046920258110283,20.7589900097441,30.076568044054255
Memphis,"Memphis, TN",TN,633104,35.1495,-90.049,92,55.35147860763672,30.139385511557176,0.0,28.49695470639797
New Orleans,"New Orleans, LA",LA,383997,29.9511,-90.0715,93,44.42379386430839,9.76952449776961,30.745513275050858,28.31294387904295
Washington,"Washington, DC",DC,678972,38.9072,-77.0369,94,0.0,19.95445500466339,61.77747572389868,27.243976909520693
Chicago,"Chicago, IL",IL,2665039,41.8781,-87.6298,95,18.308479477710165,9.76952449776961,48.12389502646315,25.400633000647645
Cleveland,"Cleveland, OH",OH,361607,41.4993,-81.6944,96,48.99243042366599,14.861989751216498,5.154488803846945,23.00296965957648
Newark,"Newark, NJ",NJ,311549,40.7357,-74.1724,97,30.203398087208804,4.67705924432272,18.968750506524216,17.94973594601858
Philadelphia,"Philadelphia, PA",PA,1550542,39.9526,-75.1652,98,12.813767940104398,4.67705924432272,35.26214162129081,17.58432293523931
St. Louis,"St. Louis, MO",MO,293310,38.627,-90.1994,99,39.340671205924025,4.67705924432272,5.5811015261098476,16.532943992118863
Baltimore,"Baltimore, MD",MD,585708,39.2904,-76.6122,100,16.476908965174907,0.0,18.814289494187815,11.763732819787572
