city,city_state,state,population,lat,lon,rank,tax_per_capita,investment_per_capita,composite_score,tax_score,investment_score,effectiveness_score,city_pgi
Los Angeles,"Los Angeles, CA",CA,3820914,34.0522,-118.2437,50,1700.8081705150978,1929.733570159858,57.12066647258678,36.202617996869165,54.21401639325931,43.16086937975399,44.52583458996082
Tacoma,"Tacoma, WA",WA,221776,47.2529,-122.4443,51,1171.5720930232558,1382.3906976744186,58.30594812201459,50.37137654318334,38.65065783342159,44.53852357706386,44.520185984556264
Spokane,"Spokane, WA",WA,230160,47.6588,-117.426,52,1082.2558139534883,1296.293023255814,58.30955905444589,52.76256045186964,36.202523317555475,44.5427205678994,44.50260144577484
Long Beach,"Long Beach, CA",CA,466742,33.7701,-118.1937,53,1118.5079928952043,1295.195381882771,58.79823053389429,51.79201367312917,36.17131255896606,45.110703979346546,44.35801007048059
Phoenix,"Phoenix, AZ",AZ,1650070,33.4484,-112.074,54,1199.3251533742332,1526.5746421267895,54.779767325266675,49.628368974806925,42.75043977795339,40.44003966190469,44.272949471555
Nashville,"Nashville, TN",TN,683622,36.1627,-86.7816,55,1823.8980263157896,2132.1491228070176,53.8180111220207,32.907244683307574,59.969578367840896,39.322189342674456,44.06633746460764
Anaheim,"Anaheim, CA",CA,350986,33.8366,-117.9143,56,947.9662522202487,1189.182948490231,56.293249638199825,56.35777335667761,33.156914097546604,42.199161860390724,43.90461643820498
Garland,"Garland, TX",TX,246018,32.9126,-96.6389,57,895.8604407135363,1196.295907660021,54.08176776202263,57.75275509261142,33.359166724822515,39.628753982684216,43.580225266706044
Dallas,"Dallas, TX",TX,1302092,32.7767,-96.797,58,1400.5194123819515,1756.3221406086045,51.12686575213417,44.24197715833274,49.28316885298739,36.19426804550012,43.23980468560674
Houston,"Houston, TX",TX,2314157,29.7604,-95.3698,59,1077.392444910808,1585.682056663169,47.12355405019186,52.89276302992124,44.431122823660004,31.541214341359037,42.955033398313425
Las Vegas,"Las Vegas, NV",NV,660929,36.1699,-115.1398,60,991.219387755102,1314.2704081632653,51.757679756764496,55.199796302904694,36.71369922090173,36.92746387420491,42.94698646600378
Oakland,"Oakland, CA",CA,430553,37.8044,-122.2712,61,1630.9014209591476,1691.5896980461814,57.082808024829355,38.0741681374228,47.44254158862141,43.116866463247334,42.87785872976385
Winston-Salem,"Winston-Salem, NC",NC,252292,36.0999,-80.2442,62,1020.1611170784104,1263.5875402792697,53.22553687041313,54.42496557587238,35.27256298734186,38.6335558521288,42.77702813844768
San Antonio,"San Antonio, TX",TX,1495295,29.4241,-98.4936,63,891.3221406086044,1315.199370409234,48.637550094057296,57.87425489417868,36.7401136920666,33.300933649886794,42.638434078710695
El Paso,"El Paso, TX",TX,678815,31.7619,-106.485,64,674.3913955928647,1028.3788037775446,50.442913529652714,63.68194540909343,28.584546961920573,35.3993096062837,42.555267325765904
Tucson,"Tucson, AZ",AZ,546574,32.2226,-110.9747,65,895.0715746421268,1161.29345603272,52.24469515665347,57.77387469002086,32.36389350115676,37.49352242251322,42.54376353789695
Oklahoma City,"Oklahoma City, OK",OK,681054,35.4676,-97.5164,66,965.7861990950224,1354.2533936651582,48.84331440233154,55.88069604597461,37.85059086769175,33.54009373735413,42.423793550340164
Wichita,"Wichita, KS",KS,400110,37.6872,-97.3301,67,979.9501661129568,1241.4617940199337,51.84800208702768,55.501496975332714,34.64343097567545,37.03244562049108,42.39245785716641
Chicago,"Chicago, IL",IL,2665039,41.8781,-87.6298,68,2804.5618556701033,2668.1237113402062,57.973143352451274,6.652819476554164,75.20968675260005,44.15170421822626,42.004736815793486
