city,city_state,state,population,lat,lon,rank,adj_rank,rank_change,city_pgi,adj_city_pgi,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
Jacksonville,"Jacksonville, FL",FL,985843,30.3322,-81.6557,31,42,-11,51.70615744037412,46.516179048894195,53.60303075348583,55.69417703223847,40.12424185779867,45.821264535398065,100.6,0.8598409542743539
Nashville,"Nashville, TN",TN,683622,36.1627,-86.7816,60,43,17,44.49097545768367,45.91610923621781,38.45655999813808,55.69417703223847,59.969578367840896,39.322189342674456,91.2,0.9484649122807017
Fort Worth,"Fort Worth, TX",TX,956709,32.7555,-97.3308,26,44,-18,53.29123851917375,45.8435216084207,55.43460126602109,60.78664228568537,38.44349155342621,43.652472005814786,95.3,0.9076600209863589
Greensboro,"Greensboro, NC",NC,301700,36.0726,-79.792,25,45,-20,53.43507994687243,45.71413951951032,55.43460126602109,60.78664228568537,37.62382100359903,44.08399628891081,93.1,0.929108485499463
Pittsburgh,"Pittsburgh, PA",PA,302971,40.4406,-79.9959,80,46,34,34.61478688839507,45.70730125196511,37.13947558462959,14.95445500466339,48.23199809537353,51.750430075892226,97.5,0.8871794871794871
Orlando,"Orlando, FL",FL,320742,28.5383,-81.3792,36,47,-11,50.88120165368892,45.691223262208986,50.35147860763672,55.69417703223847,40.12424185779867,46.597949321191564,100.6,0.8598409542743539
Aurora,"Aurora, CO",CO,395282,39.7294,-104.8319,20,48,-28,55.220793751884884,45.61869324611116,57.71891954569989,60.78664228568537,31.98034076836417,47.15681942426941,104.3,0.8293384467881112
Glendale,"Glendale, AZ",AZ,248325,33.5387,-112.186,27,49,-22,52.9536914858054,44.48952369481746,60.0032378253787,55.69417703223847,30.301673659274627,43.16365959979905,97.8,0.8844580777096115
Phoenix,"Phoenix, AZ",AZ,1650070,33.4484,-112.074,29,50,-21,52.14808397503398,44.438528054641004,50.12510472406495,65.87910753913226,42.75043977795339,40.44003966190469,97.8,0.8844580777096115
Chicago,"Chicago, IL",IL,2665039,41.8781,-87.6298,95,51,44,20.743236064568677,44.22329014951216,13.308479477710165,4.769524497769609,75.20968675260005,44.15170421822626,97.0,0.8917525773195877
Dallas,"Dallas, TX",TX,1302092,32.7767,-96.797,66,52,14,42.66008775806322,43.91806186727743,46.2767487033448,45.50924652534474,49.28316885298739,36.19426804550012,95.3,0.9076600209863589
Sacramento,"Sacramento, CA",CA,524943,38.5816,-121.4944,59,53,6,44.53864524399234,43.85258371554378,50.35147860763672,35.32431601845096,33.26613143310528,47.940141105889346,112.6,0.7682060390763766
Tacoma,"Tacoma, WA",WA,221776,47.2529,-122.4443,61,54,7,44.34082172563988,43.75211391281446,48.06716032795792,40.416781271897854,38.65065783342159,44.53852357706386,107.5,0.8046511627906977
Spokane,"Spokane, WA",WA,230160,47.6588,-117.426,51,55,-4,46.801148566960286,43.6989074976972,50.35147860763672,45.50924652534474,36.202523317555475,44.5427205678994,107.5,0.8046511627906977
Garland,"Garland, TX",TX,246018,32.9126,-96.6389,28,56,-28,52.71143860468982,43.56894675106887,57.71891954569989,60.78664228568537,33.359166724822515,39.628753982684216,95.3,0.9076600209863589
Los Angeles,"Los Angeles, CA",CA,3820914,34.0522,-118.2437,75,57,18,38.68186415237282,43.280942526159976,32.46794180546662,40.416781271897854,54.21401639325931,43.16086937975399,112.6,0.7682060390763766
Louisville,"Louisville, KY",KY,628594,38.2527,-85.7585,70,58,12,41.098132325140526,43.23297309006626,45.782842048279115,40.416781271897854,46.82130356667507,37.09477365524461,89.0,0.9719101123595506
Houston,"Houston, TX",TX,2314157,29.7604,-95.3698,50,59,-9,46.94614070902778,43.19178930616829,53.60303075348583,55.69417703223847,44.431122823660004,31.541214341359037,95.3,0.9076600209863589
Long Beach,"Long Beach, CA",CA,466742,33.7701,-118.1937,65,60,5,42.83406010858514,43.116392288756835,48.06716032795792,35.32431601845096,36.17131255896606,45.110703979346546,112.6,0.7682060390763766
Winston-Salem,"Winston-Salem, NC",NC,252292,36.0999,-80.2442,41,61,-20,49.92077805012946,43.11357336849725,55.43460126602109,55.69417703223847,35.27256298734186,38.6335558521288,93.1,0.929108485499463
Oklahoma City,"Oklahoma City, OK",OK,681054,35.4676,-97.5164,37,62,-25,50.681885189579795,43.03653471691526,57.71891954569989,60.78664228568537,37.85059086769175,33.54009373735413,88.4,0.9785067873303167
Wichita,"Wichita, KS",KS,400110,37.6872,-97.3301,42,63,-21,49.9015607386103,42.884645386422626,56.97805956310136,55.69417703223847,34.64343097567545,37.03244562049108,90.3,0.9579180509413068
Las Vegas,"Las Vegas, NV",NV,660929,36.1699,-115.1398,44,64,-20,49.18058535781257,42.85375942070032,54.92011516699433,55.69417703223847,36.71369922090173,36.92746387420491,98.0,0.8826530612244898
Anaheim,"Anaheim, CA",CA,350986,33.8366,-117.9143,52,65,-13,46.78140175768366,42.663957615084286,52.63579688731553,45.50924652534474,33.156914097546604,42.199161860390724,112.6,0.7682060390763766
San Antonio,"San Antonio, TX",TX,1495295,29.4241,-98.4936,38,66,-28,50.636464233692465,42.620954702486216,57.82181676550525,60.78664228568537,36.7401136920666,33.300933649886794,95.3,0.9076600209863589
Tucson,"Tucson, AZ",AZ,546574,32.2226,-110.9747,53,67,-14,46.73573413151036,42.35394979011437,57.204433446673136,45.50924652534474,32.36389350115676,37.49352242251322,97.8,0.8844580777096115
El Paso,"El Paso, TX",TX,678815,31.7619,-106.485,43,68,-25,49.58044175242545,42.241386813468445,62.74030387220105,50.60171177879158,28.584546961920573,35.3993096062837,95.3,0.9076600209863589
Miami,"Miami, FL",FL,449514,25.7617,-80.1918,86,69,17,30.899229982881412,41.65600813714361,29.772034646566414,25.139385511557176,57.40971997434377,37.78626979052065,100.6,0.8598409542743539
Oakland,"Oakland, CA",CA,430553,37.8044,-122.2712,81,70,11,34.19897439357618,41.63335975259759,34.340671205924025,25.139385511557176,47.44254158862141,43.116866463247334,112.6,0.7682060390763766
Albuquerque,"Albuquerque, NM",NM,564559,35.0844,-106.6504,56,71,-15,45.61958247185252,41.458555014293516,55.43460126602109,50.60171177879158,38.11862940611459,30.822434370744872,92.8,0.9321120689655172
